time,open,high,low,close,volume
2023-06-19,26329.6,31500.0,26241.2,30458.0,4123381.737
2023-06-26,30458.0,31300.0,29500.0,30612.7,2796619.723
2023-07-03,30612.7,31568.0,29680.0,30147.8,2326121.703
2023-07-10,30147.8,31850.0,29876.6,30216.8,2673222.711
2023-07-17,30216.9,30420.0,29400.0,30070.8,1979427.338
2023-07-24,30070.9,30091.7,28830.0,29271.1,1650826.99
2023-07-31,29271.2,30059.9,28550.0,29075.9,1831402.536
2023-08-07,29075.9,30250.0,28682.3,29293.3,1673050.527
2023-08-14,29293.3,29686.7,24581.0,26175.9,2492540.998
2023-08-21,26175.9,26806.0,25280.0,26087.7,1670602.96
2023-08-28,26087.6,28168.0,25312.0,25962.1,2340290.81
2023-09-04,25962.1,26451.0,25326.0,25828.4,1346665.121
2023-09-11,25828.4,26890.0,24888.0,26514.2,2241563.87
2023-09-18,26514.2,27480.0,26081.0,26232.4,1950969.0
2023-09-25,26232.4,28365.2,25965.0,27981.4,1841565.446
2023-10-02,27981.4,28613.0,27123.0,27901.2,2261205.384
2023-10-09,27901.2,27977.0,26525.0,27139.8,1647949.085
2023-10-16,27139.8,30720.0,27095.4,29981.5,2775847.416
2023-10-23,29981.4,35981.9,29869.4,34528.6,3306920.167
2023-10-30,34528.6,35999.9,34016.8,35025.5,2111886.841
2023-11-06,35025.5,38499.9,34520.3,37085.5,2236913.772
2023-11-13,37085.6,38000.0,34446.3,37375.9,2108981.364
2023-11-20,37375.8,38425.0,35610.7,37437.9,1892174.442
2023-11-27,37437.9,40410.1,36700.0,39979.7,1814849.988
2023-12-04,39979.8,44779.3,39970.4,43810.0,2523679.104
2023-12-11,43810.1,43833.4,40228.3,41396.5,2378082.501
2023-12-18,41396.6,44484.0,40553.8,43008.4,1883729.98
2023-12-25,43008.4,43850.0,41283.2,42314.0,1683481.496
2024-01-01,42314.0,45950.0,40333.0,43916.9,2290222.292
2024-01-08,43916.9,49027.5,41370.0,41734.9,3238584.161
2024-01-15,41734.9,43589.0,40300.0,41580.0,1580586.555
2024-01-22,41579.9,42836.0,38545.0,42021.2,2029472.387
2024-01-29,42021.2,43888.0,41768.3,42570.3,1517399.453
2024-02-05,42570.3,48600.0,42235.1,48303.4,1898106.837
2024-02-12,48303.4,52859.0,47702.0,52175.9,2269957.905
2024-02-19,52175.9,53090.9,50512.7,51764.9,1580169.269
2024-02-26,51764.9,64300.0,50922.5,63178.5,3158602.05
2024-03-04,63178.5,70330.8,59112.0,69001.8,3303894.612
2024-03-11,69001.8,73881.4,64559.8,68447.9,3102943.926
2024-03-18,68447.9,69044.4,60800.0,67260.9,2887386.329
2024-03-25,67260.9,71888.0,66427.6,71363.0,1763831.084
2024-04-01,71363.0,71388.0,64500.0,69362.7,1995954.721
